x,y,yaw,cov11,cov12,cov13,cov21,cov22,cov23,cov31,cov32,cov33
0.005592770,0.005867474,0.000451530,0.012415776,0.000635753,0.000009914,0.000635753,0.011758144,0.000000000,0.000009914,0.000000000,0.000013604
-0.005024011,-0.022411128,0.000112918,0.012159254,0.000103335,0.000016983,0.000103335,0.011940773,0.000000000,0.000016983,0.000000000,0.000013658
0.000302055,0.001786850,-0.000068681,0.012578472,0.000142084,0.000024156,0.000142084,0.011362260,0.000000000,0.000024156,0.000000000,0.000012978
0.000799763,0.001129603,0.000031556,0.011715353,-0.000092341,0.000045586,-0.000092341,0.011161708,0.000000000,0.000045586,0.000000000,0.000013041
0.001669119,0.001535233,-0.000171905,0.012277657,-0.000181604,0.000026854,-0.000181604,0.012064280,0.000000000,0.000026854,0.000000000,0.000015051
0.002357176,0.004161112,-0.000092208,0.012006657,-0.000333275,0.000025713,-0.000333275,0.012039375,0.000000000,0.000025713,0.000000000,0.000011379
0.006470129,-0.003472476,-0.000050217,0.011965116,-0.000239993,0.000019343,-0.000239993,0.011169526,0.000000000,0.000019343,0.000000000,0.000010443
0.002704407,0.005464027,0.000719626,0.012258341,-0.000266525,0.000006344,-0.000266525,0.011240673,0.000000000,0.000006344,0.000000000,0.000010126
0.005817909,-0.006298615,0.000051031,0.012106587,-0.000325330,0.000002925,-0.000325330,0.011073855,0.000000000,0.000002925,0.000000000,0.000011125
0.008848716,0.003361004,0.000708110,0.013032765,-0.000253188,0.000035739,-0.000253188,0.011246139,0.000000000,0.000035739,0.000000000,0.000013238
-0.005622075,-0.006318301,-0.000502266,0.012350961,-0.000409872,0.000047278,-0.000409872,0.011529596,0.000000000,0.000047278,0.000000000,0.000013396
-0.000380092,-0.001423491,0.000021774,0.011879713,-0.000551479,0.000015289,-0.000551479,0.010750139,0.000000000,0.000015289,0.000000000,0.000011516
0.005122718,-0.001211132,0.000167584,0.012406270,-0.000509591,0.000022461,-0.000509591,0.010878687,0.000000000,0.000022461,0.000000000,0.000012229
-0.005620691,-0.005284267,-0.000246376,0.012855243,-0.000725613,0.000018527,-0.000725613,0.011141661,0.000000000,0.000018527,0.000000000,0.000012862
0.001636297,0.010793632,-0.000037199,0.011478771,-0.000449640,0.000021659,-0.000449640,0.010780596,0.000000000,0.000021659,0.000000000,0.000017448
-0.002183939,-0.004869031,-0.000665888,0.011678287,-0.000345878,0.000003874,-0.000345878,0.010955247,0.000000000,0.000003874,0.000000000,0.000013877
-0.002609909,0.005320083,0.000235319,0.012103489,0.000099387,0.000026592,0.000099387,0.011858974,0.000000000,0.000026592,0.000000000,0.000019130
0.002100622,-0.000407836,-0.000017023,0.012048777,-0.000286895,0.000021116,-0.000286895,0.011340911,0.000000000,0.000021116,0.000000000,0.000013173
0.012743774,-0.006198238,0.000149350,0.012997553,-0.000017083,-0.000005916,-0.000017083,0.011165033,0.000000000,-0.000005916,0.000000000,0.000014788
-0.008292291,-0.005748972,0.000218565,0.012264402,-0.000066787,0.000020241,-0.000066787,0.011393027,0.000000000,0.000020241,0.000000000,0.000015656
0.006152111,-0.002211003,0.000024006,0.012257617,-0.000016432,0.000033147,-0.000016432,0.011433362,0.000000000,0.000033147,0.000000000,0.000013542
0.002196617,-0.004546169,0.000259341,0.012173276,0.000263001,0.000013510,0.000263001,0.011200580,0.000000000,0.000013510,0.000000000,0.000013481
-0.003497432,-0.000179542,-0.000220849,0.012012398,0.000232778,0.000019052,0.000232778,0.011445416,0.000000000,0.000019052,0.000000000,0.000014430
0.003733377,0.013422638,0.000359646,0.012027317,0.000358143,0.000021765,0.000358143,0.011684082,0.000000000,0.000021765,0.000000000,0.000013240
0.000615054,-0.009307497,-0.000011969,0.012084813,0.000179394,0.000006537,0.000179394,0.010739816,0.000000000,0.000006537,0.000000000,0.000011150
-0.001497172,0.007656229,0.000424124,0.011941862,0.000105140,0.000009977,0.000105140,0.010586982,0.000000000,0.000009977,0.000000000,0.000012180
0.006591725,-0.005640004,-0.000184460,0.012190572,0.000782079,0.000018816,0.000782079,0.010784268,0.000000000,0.000018816,0.000000000,0.000012056
0.005886248,-0.000393118,0.000127364,0.012403528,0.000290073,0.000035316,0.000290073,0.010391540,0.000000000,0.000035316,0.000000000,0.000011710
0.001031719,-0.002343537,0.000136443,0.013515512,-0.000018693,0.000039439,-0.000018693,0.010464883,0.000000000,0.000039439,0.000000000,0.000010792
0.003611531,-0.005725180,0.000052370,0.012736652,-0.000179396,0.000011799,-0.000179396,0.010741980,0.000000000,0.000011799,0.000000000,0.000012006
0.001973773,0.001557114,0.000489353,0.013543983,-0.000191387,-0.000003817,-0.000191387,0.011344725,0.000000000,-0.000003817,0.000000000,0.000017207
0.000718026,-0.010672692,-0.000158229,0.013187549,-0.000408294,0.000007794,-0.000408294,0.011279240,0.000000000,0.000007794,0.000000000,0.000013005
-0.004170706,0.000181105,0.000089963,0.012081056,-0.000237731,0.000017196,-0.000237731,0.010592568,0.000000000,0.000017196,0.000000000,0.000009354
-0.011456376,-0.005710958,-0.000256381,0.012696320,-0.000180886,0.000031534,-0.000180886,0.010760825,0.000000000,0.000031534,0.000000000,0.000010748
-0.011230333,0.001571969,0.000050900,0.012616050,-0.000225794,0.000029275,-0.000225794,0.010311373,0.000000000,0.000029275,0.000000000,0.000014486
-0.003495961,-0.014831216,-0.000288501,0.011769182,-0.000120366,0.000035311,-0.000120366,0.010866177,0.000000000,0.000035311,0.000000000,0.000014440
0.006678206,0.012626900,0.000558397,0.012136717,0.000283475,0.000021670,0.000283475,0.011147852,0.000000000,0.000021670,0.000000000,0.000014907
-0.000796083,-0.011554307,-0.000152323,0.012011224,0.000229318,0.000025867,0.000229318,0.011036868,0.000000000,0.000025867,0.000000000,0.000014365
0.005380659,0.002223465,0.000294577,0.011887054,-0.000170792,0.000023857,-0.000170792,0.011216003,0.000000000,0.000023857,0.000000000,0.000015648
-0.011764976,-0.013338472,0.000415664,0.012119000,0.000001707,0.000015625,0.000001707,0.011179868,0.000000000,0.000015625,0.000000000,0.000014933
-0.008346805,0.007136685,-0.000728824,0.013641233,0.000078900,0.000022825,0.000078900,0.011349847,0.000000000,0.000022825,0.000000000,0.000016761
0.005819639,-0.008659527,0.000645548,0.013526410,0.000355107,0.000003795,0.000355107,0.011394341,0.000000000,0.000003795,0.000000000,0.000015134
0.011592370,0.009400952,0.000433251,0.013029919,-0.000013069,0.000013471,-0.000013069,0.011431304,0.000000000,0.000013471,0.000000000,0.000011802
0.000136875,-0.018702082,-0.000024004,0.012679957,0.000168201,0.000023046,0.000168201,0.012045726,0.000000000,0.000023046,0.000000000,0.000013750
-0.013424861,-0.004408803,-0.000160743,0.013011786,0.000330382,0.000045020,0.000330382,0.011047246,0.000000000,0.000045020,0.000000000,0.000014238
0.006092356,-0.004623239,-0.000359480,0.013503708,0.000694241,0.000057736,0.000694241,0.011725706,0.000000000,0.000057736,0.000000000,0.000016093
-0.000322087,-0.001127785,0.000156329,0.012730689,0.000105840,0.000034993,0.000105840,0.011018902,0.000000000,0.000034993,0.000000000,0.000015419
0.004395295,-0.005531992,0.000435079,0.012111579,-0.000348545,0.000051338,-0.000348545,0.011074633,0.000000000,0.000051338,0.000000000,0.000017313
-0.007013989,0.015180711,0.000202880,0.013568103,0.000092170,0.000051602,0.000092170,0.011607705,0.000000000,0.000051602,0.000000000,0.000018993
-0.003207255,-0.012672309,-0.000441776,0.013343622,0.000143649,0.000050562,0.000143649,0.011515751,0.000000000,0.000050562,0.000000000,0.000016608
