index Rot.err.(deg/100m) Trans.err.(%) length speed
0 0.0001398212248672567 0.004977179088966406 100 18.181818181818183
0 0.00023359553520653018 0.0038546505909063406 200 20.2020202020202
0 0.00015541490502913306 0.012334263380036525 300 20.979020979020977
0 0.00016485631463919223 0.016188844839576916 400 19.704433497536947
0 0.0001715587988752405 0.02207490481994522 500 17.54385964912281
0 0.00015031826627027182 0.02238309520854016 600 18.12688821752266
0 0.0001262572501156747 0.02984906882105143 700 18.617021276595743
0 0.00010843138566536631 0.03559882679073752 800 19.323671497584538
10 0.00016476200913217735 0.005418189253309562 100 20.0
10 0.0001519199244191411 0.004216387658851381 200 21.27659574468085
10 0.00010370765102003724 0.014113409678449646 300 21.428571428571427
10 0.00017753646315787246 0.018513226339903276 400 20.100502512562812
10 0.00020034219247971693 0.023225987987651284 500 17.730496453900706
10 0.0001691715832898157 0.02426903893862764 600 18.46153846153846
10 0.00013816788406937922 0.03179733903412494 700 18.91891891891892
10 9.680005369977514e-05 0.037217811408551016 800 19.6078431372549
20 0.0006070943300210126 0.005043843265844576 100 20.83333333333333
20 0.00018157333179035672 0.011660424793510107 200 21.978021978021978
20 7.400262598381955e-05 0.024405785431980728 300 20.833333333333332
20 0.0001696318787562485 0.023851311688514273 400 20.100502512562812
20 0.0001938099488746127 0.024724866796734912 500 17.857142857142858
20 0.0001640946357046655 0.02658179961243996 600 18.633540372670804
20 0.00013948559556753969 0.0344315553987554 700 19.07356948228883
20 9.986221384883152e-05 0.03979177604842573 800 19.851116625310173
30 0.00010372038319283638 0.004819355098048473 100 21.27659574468085
30 0.00017011634000484724 0.00902960209181764 200 22.22222222222222
30 0.0001691358346705925 0.017871172057894034 300 20.27027027027027
30 0.00019783337371338558 0.022667707448785622 400 19.8019801980198
30 0.00019066203916761948 0.022682669122562553 500 17.857142857142858
30 0.00015559513903364993 0.027681729120007954 600 18.69158878504673
30 0.00012693959154452437 0.0345900349918674 700 19.17808219178082
30 7.683539317830912e-05 0.03886311543747766 800 19.851116625310173
40 0.00019226512621041856 0.012633938489537 100 21.739130434782606
40 0.00019429106302073108 0.013507074508571306 200 22.47191011235955
40 0.0002295940504669493 0.015052063471954265 300 20.13422818791946
40 0.00023958421205111095 0.020774676615403092 400 18.099547511312217
40 0.0001800277256416037 0.021350754471152065 500 17.985611510791365
40 0.0001350011810480839 0.02817110812898271 600 18.69158878504673
40 0.00011864637873435012 0.03457429595145901 700 19.283746556473826
40 7.606624298005685e-05 0.03851933789508739 800 19.851116625310173
50 0.00029121966996938526 0.010780552210575873 100 22.22222222222222
50 0.00028392719198422995 0.01963591735929885 200 22.727272727272727
50 0.00020006048840907607 0.020785531387771363 300 20.27027027027027
50 0.0001988991365080974 0.02611601897196733 400 17.391304347826086
50 0.00018061235880635444 0.024502075586110644 500 18.050541516245485
50 0.0001437581252347386 0.032317768082139105 600 18.633540372670804
50 0.0001319040478623965 0.038680415611179304 700 19.39058171745152
50 0.00010487733658050714 0.04259441702261382 800 19.753086419753085
60 0.00031139879162354954 0.005580071897866229 100 22.22222222222222
60 6.0970518398628394e-05 0.018594411971909933 200 21.739130434782606
60 0.00022329721116444619 0.021419059988086266 300 19.86754966887417
