x,y
143.104,2.24806
143.147,2.24873
143.19,2.24941
143.061,2.24738
143.234,2.25009
143.018,2.2467
143.277,2.25077
142.974,2.24602
143.32,2.25145
142.931,2.24534
143.363,2.25213
142.888,2.24466
107.252,1.68485
107.296,1.68553
107.339,1.68621
107.209,1.68418
107.382,1.68689
107.166,1.6835
143.406,2.25281
107.425,1.68757
143.137,4.49827
143.094,4.49691
143.181,4.49963
143.051,4.49556
143.224,4.50099
143.008,4.4942
142.965,4.49284
143.267,4.50234
142.921,4.49149
143.31,4.5037
143.353,4.50506
107.169,3.36794
142.878,4.49013
107.213,3.36929
103.456,3.25124
103.413,3.24988
107.126,3.36658
103.37,3.24853
107.256,3.37065
107.299,3.37201
63.0883,2.97517
63.0451,2.97313
63.1746,2.97924
63.002,2.9711
63.1314,2.9772
143.092,6.74806
143.049,6.74602
143.135,6.75009
143.006,6.74399
63.2177,2.98127
62.9588,2.96906
143.178,6.75213
142.963,6.74195
63.2609,2.98331
62.9157,2.96703
142.531,6.7216
142.574,6.72364
143.222,6.75416
142.488,6.71957
42.3753,1.99837
128.654,8.09425
128.698,8.09696
128.741,8.09968
128.611,8.09154
128.784,8.10239
128.568,8.08883
134.432,8.45773
134.346,8.45231
134.389,8.45502
128.827,8.1051
134.302,8.44959
128.525,8.08611
134.475,8.46044
134.259,8.44688
128.482,8.0834
128.87,8.10781
134.518,8.46316
134.216,8.44417
134.561,8.46587
155.989,9.81401
155.816,12.263
155.773,12.2596
155.859,12.2664
128.511,10.1141
155.73,12.2562
155.902,12.2697
128.468,10.1107
128.554,10.1175
155.687,12.2528
128.598,10.1208
155.945,12.2731
128.425,10.1073
128.641,10.1242
155.644,12.2494
149.054,11.7308
128.382,10.1039
149.011,11.7274
128.684,10.1276
149.097,11.7342
148.968,11.724
128.294,12.1273
128.251,12.1233
128.337,12.1314
128.38,12.1355
128.208,12.1192
128.423,12.1395
128.165,12.1151
128.466,12.1436
128.122,12.1111
128.509,12.1477
128.079,12.107
128.552,12.1517
128.036,12.1029
155.561,14.7048
128.595,12.1558
155.518,14.7008
155.604,14.7089
148.766,14.0625
148.809,14.0666
148.852,14.0706
128.087,14.141
128.13,14.1457
128.001,14.1315
128.044,14.1362
128.173,14.1505
127.959,14.1268
128.216,14.1552
127.916,14.122
123.536,13.6385
123.493,13.6337
127.873,14.1173
128.259,14.1599
123.45,13.629
123.579,13.6432
123.622,13.648
127.83,14.1125
123.407,13.6243
123.665,13.6527
128.302,14.1647
123.364,13.6195
127.764,16.1403
61.246,7.73717
61.2032,7.73176
123.306,15.5772
63.5604,8.02955
61.2889,7.74259
123.221,15.5664
123.264,15.5718
127.678,16.1295
127.721,16.1349
127.807,16.1457
63.6033,8.03496
123.178,15.561
61.1603,7.72634
61.3317,7.748
63.5176,8.02413
63.4747,8.01872
123.349,15.5826
127.635,16.1241
123.135,15.5556
86.9067,12.3686
86.9494,12.3747
86.9922,12.3808
86.8639,12.3626
87.035,12.3869
86.8211,12.3565
102.304,14.5599
87.0777,12.393
102.261,14.5539
102.218,14.5478
102.346,14.566
86.7784,12.3504
102.175,14.5417
87.1205,12.3991
102.389,14.5721
86.7356,12.3443
102.432,14.5782
102.132,14.5356
61.4163,8.74084
61.5446,8.7591
61.2288,9.69769
61.1861,9.69093
61.2714,9.70444
61.3141,9.7112
61.3568,9.71796
61.3995,9.72472
61.1434,9.68417
96.8993,15.3473
61.1008,9.67741
96.8567,15.3406
96.942,15.3541
96.814,15.3338
61.4421,9.73148
91.4378,14.4823
91.4805,14.4891
61.0581,9.67065
91.5232,14.4958
96.9847,15.3609
91.3951,14.4756
69.9331,11.0763
69.793,12.1808
69.7505,12.1734
69.8356,12.1883
69.7079,12.166
69.6654,12.1586
69.8781,12.1957
69.6228,12.1511
69.9207,12.2031
69.5802,12.1437
88.0073,15.3597
87.9648,15.3523
69.9633,12.2105
87.9222,15.3449
88.0499,15.3672
87.8796,15.3375
69.5377,12.1363
88.0924,15.3746
66.5162,11.6089
66.5587,11.6164
70.0058,12.218
66.368,12.6604
66.2832,12.6442
66.3256,12.6523
81.5173,15.5503
69.5507,13.2675
66.2407,12.6361
69.5082,13.2594
81.4748,15.5422
66.4105,12.6685
81.5597,15.5583
69.5931,13.2756
81.4324,15.5341
69.4658,13.2513
66.1983,12.628
81.6021,15.5664
81.39,15.526
69.4233,13.2432
66.4529,12.6766
69.6355,13.2837
81.6446,15.5745
57.8274,11.9755
57.7851,11.9667
57.912,11.993
57.8697,11.9842
57.7428,11.958
57.9543,12.0018
57.7005,11.9492
57.9966,12.0105
57.6582,11.9404
41.7525,8.64653
41.7948,8.65529
41.8371,8.66405
57.6159,11.9317
41.7102,8.63777
41.8794,8.67281
58.0389,12.0193
41.6679,8.62901
41.9217,8.68157
57.5736,11.9229
79.444,16.4521
57.5479,12.8635
57.59,12.8729
57.6322,12.8823
57.5057,12.854
57.6743,12.8917
57.7165,12.9012
57.4635,12.8446
57.4214,12.8352
57.7587,12.9106
57.3792,12.8258
79.0914,17.679
79.0493,17.6696
57.8008,12.92
57.3371,12.8164
58.8126,13.1462
58.8548,13.1556
79.0071,17.6602
79.1336,17.6884
58.7705,13.1368
58.897,13.165
79.098,18.9898
79.14,18.9998
79.182,19.0099
79.224,19.02
79.056,18.9797
79.266,19.0301
79.014,18.9696
79.6441,19.1209
79.308,19.0402
79.6021,19.1108
79.6861,19.1309
79.5181,19.0906
78.972,18.9595
79.5601,19.1007
79.4761,19.0805
79.3501,19.0503
79.7281,19.141
79.4341,19.0704
79.3921,19.0603
79.7701,19.1511
79.3758,20.3802
79.4176,20.391
79.4595,20.4017
79.5013,20.4125
79.3339,20.3695
79.0829,20.305
79.2921,20.3587
79.2084,20.3373
79.2503,20.348
79.1247,20.3158
79.1666,20.3265
79.041,20.2943
79.5432,20.4232
78.9992,20.2835
79.585,20.434
78.9574,20.2728
79.6268,20.4447
78.9155,20.2621
79.6687,20.4554
78.8737,20.2513
79.2125,21.6701
79.1292,21.6473
79.1709,21.6587
79.2542,21.6815
79.0875,21.6359
79.0459,21.6245
79.2959,21.6929
79.0042,21.6131
79.3375,21.7043
78.9625,21.6017
78.9209,21.5903
78.8792,21.5789
78.7125,21.5333
78.7542,21.5447
78.7959,21.5561
78.8375,21.5675
79.3792,21.7157
78.6292,21.5105
78.6708,21.5219
78.5875,21.4991
63.8449,18.5487
63.762,18.5246
63.8034,18.5366
63.8864,18.5607
63.7205,18.5125
63.9279,18.5728
63.679,18.5005
63.9694,18.5848
63.6375,18.4884
62.1441,18.0545
62.1026,18.0425
62.1855,18.0666
62.227,18.0786
62.0611,18.0304
64.0109,18.5969
63.596,18.4764
42.7707,12.426
42.8122,12.4381
42.7292,12.414
62.2685,18.0907
60.5728,18.6346
60.6141,18.6473
