z min,min distance,max distance,k strongest,topic_filtered,radar_frameid,dataset,input_points_topic,scan_registered_latest_topic,scan_registered_keyframe_topic,odom_latest_topic,odom_keyframe_topic,use raw pointcloud,submap keyframes,resolution r,resample factor f,min. sensor distance [m],min. sensor rot. [deg],use keyframe,use initial guess,radar reversed,disable registration,soft velocity constraint,compensate,cost type,todom_est_topic,gt_topic,est_output_dir,gt_output_dir,sequence,job nr,nr_frames,Filtered points avg,Filtered points dev [σ],Filtered points count,Surface points avg,Surface points dev [σ],Surface points count,Registration avg,Registration dev [σ],Registration count,Filtering avg,Filtering dev [σ],Filtering count,Trans.err. [%],Rot.err. [deg/100m],ATE [m],RPE [m],RPE-dev [m],RPE [deg],RPE-dev [deg],bias-x [m],bias-y [m],bias-theta [deg]
 40, 2.5, 130, 20, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 5, 1.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1334/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1334/gt/, 2019-01-16-13-09-37-radar-oxford-10k, 1334, 7509, 7964.250965, 11993.522291, 7511, 338.912661, 5567.494702, 7511, 33.627394, 153.612655, 7511, 7.455054, 0.807906, 7511,1.456,0.412,36.179,0.051,0.037,0.061,0.056,-0.022,-0.01,0.002
 40, 2.5, 130, 50, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 3.25, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_719/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_719/gt/, 2019-01-18-14-46-59-radar-oxford-10k, 719, 7665, 18512.919917, 1635900.984326, 7667, 358.784531, 8759.874533, 7667, 38.887207, 326.462796, 7667, 29.703788, 67.412205, 7667,1.342,0.423,22.332,0.062,0.052,0.061,0.067,-0.017,0.001,0.001
 40, 2.5, 130, 50, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 5, 1, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1325/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1325/gt/, 2019-01-16-13-09-37-radar-oxford-10k, 1325, 7509, 18630.096259, 1396037.115618, 7511, 826.400746, 25276.148816, 7511, 136.327244, 2711.634066, 7511, 30.082299, 65.090356, 7511,1.426,0.441,48.473,0.049,0.037,0.056,0.052,-0.02,-0.01,0.003
 40, 2.5, 130, 40, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 2.25, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1288/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1288/gt/, 2019-01-16-13-09-37-radar-oxford-10k, 1288, 7509, 15275.044202, 502764.155948, 7511, 416.432699, 9789.861500, 7511, 34.457390, 145.734204, 7511, 16.850076, 7.812750, 7511,1.298,0.396,31.038,0.059,0.048,0.057,0.056,-0.019,-0.01,0.002
 40, 2.5, 130, 30, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 1.25, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1461/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1461/gt/, 2019-01-17-13-26-39-radar-oxford-10k, 1461, 8538, 11719.574707, 106320.720063, 8540, 497.130562, 10334.698996, 8540, 59.952148, 655.957329, 8540, 14.496159, 14.277278, 8540,1.452,0.43,43.421,0.039,0.029,0.056,0.052,-0.018,-0.002,0.002
 40, 2.5, 130, 30, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 2, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_687/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_687/gt/, 2019-01-18-14-46-59-radar-oxford-10k, 687, 7665, 11680.645755, 131366.675606, 7667, 372.812443, 7704.883304, 7667, 40.188250, 352.151959, 7667, 14.537675, 13.549340, 7667,1.496,0.443,32.67,0.053,0.045,0.058,0.06,-0.02,0.001,0.002
 40, 2.5, 130, 50, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 3, 1, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_203/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_203/gt/, 2019-01-10-11-46-21-radar-oxford-10k, 203, 8865, 18495.170182, 1575110.188812, 8867, 815.588925, 25343.869700, 8867, 82.203919, 1162.707804, 8867, 30.239907, 67.484151, 8867,1.424,0.448,46.758,0.049,0.046,0.055,0.053,-0.015,-0.009,0.002
 40, 2.5, 130, 40, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 3.25, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_124/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_124/gt/, 2019-01-10-12-32-52-radar-oxford-10k, 124, 8617, 15149.043509, 527636.161815, 8619, 307.442743, 6876.320048, 8619, 32.288049, 215.998123, 8619, 21.153321, 29.793831, 8619,1.253,0.37,7.083,0.067,0.06,0.059,0.059,-0.015,-0.009,-0.0
 40, 2.5, 130, 40, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 1.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1270/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1270/gt/, 2019-01-16-13-09-37-radar-oxford-10k, 1270, 7509, 15275.044202, 502764.155948, 7511, 548.450007, 13326.151641, 7511, 49.122576, 260.835889, 7511, 17.015712, 6.996878, 7511,1.452,0.427,41.068,0.051,0.037,0.055,0.052,-0.022,-0.01,0.003
 40, 2.5, 130, 60, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 2, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_96/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_96/gt/, 2019-01-10-12-32-52-radar-oxford-10k, 96, 8617, 21564.770043, 2854299.148651, 8619, 581.522566, 21342.297292, 8619, 69.147349, 1065.942543, 8619, 39.248820, 128.094555, 8619,1.353,0.39,12.225,0.054,0.047,0.052,0.051,-0.016,-0.009,0.001
